,Unnamed: 0,Arxiv_ID,Title,Pdf_Link,Published_Date,Github_Link,2025-09-20,2025-09-27,2025-09-30,2025-10-02
0,0,2509.15217,Generalizable Geometric Image Caption Synthesis,https://arxiv.org/pdf/2509.15217,2025-09-18T17:59:11Z,not_found,,,,
1,1,2509.1521,"Explicit Context-Driven Neural Acoustic Modeling for High-Fidelity RIR
  Generation",https://arxiv.org/pdf/2509.15210,2025-09-18T17:57:07Z,not_found,,,,
2,2,2509.15207,FlowRL: Matching Reward Distributions for LLM Reasoning,https://arxiv.org/pdf/2509.15207,2025-09-18T17:56:36Z,not_found,,,,
3,3,2509.15195,Orion: Fuzzing Workflow Automation,https://arxiv.org/pdf/2509.15195,2025-09-18T17:52:06Z,not_found,,,,
4,4,2509.15193,"TITAN: A Trajectory-Informed Technique for Adaptive Parameter Freezing
  in Large-Scale VQE",https://arxiv.org/pdf/2509.15193,2025-09-18T17:50:02Z,not_found,,,,
5,5,2509.15188,"Fast and Fluent Diffusion Language Models via Convolutional Decoding and
  Rejective Fine-tuning",https://arxiv.org/pdf/2509.15188,2025-09-18T17:48:21Z,https://github.com/ybseo-ac/Conv,2.0,5.0,7.0,7.0
6,6,2509.15174,"SMARTER: A Data-efficient Framework to Improve Toxicity Detection with
  Explanation via Self-augmenting Large Language Models",https://arxiv.org/pdf/2509.15174,2025-09-18T17:30:36Z,https://github.com/hnghiem-nlp/smarter_public,0.0,0.0,0.0,0.0
7,7,2509.15172,"Internalizing Self-Consistency in Language Models: Multi-Agent Consensus
  Alignment",https://arxiv.org/pdf/2509.15172,2025-09-18T17:27:28Z,not_found,,,,
8,8,2509.1517,"Watermarking and Anomaly Detection in Machine Learning Models for LORA
  RF Fingerprinting",https://arxiv.org/pdf/2509.15170,2025-09-18T17:21:33Z,not_found,,,,
9,9,2509.15167,"Semi-Supervised 3D Medical Segmentation from 2D Natural Images
  Pretrained Model",https://arxiv.org/pdf/2509.15167,2025-09-18T17:17:52Z,https://github.com/pakheiyeung/M-N,0.0,1.0,2.0,2.0
10,10,2509.15156,"Leveraging Geometric Visual Illusions as Perceptual Inductive Biases for
  Vision Models",https://arxiv.org/pdf/2509.15156,2025-09-18T17:00:42Z,not_found,,,,
11,11,2509.15151,Exploring How Audio Effects Alter Emotion with Foundation Models,https://arxiv.org/pdf/2509.15151,2025-09-18T16:57:08Z,https://github.com/stelioskt/audioFX,1.0,1.0,1.0,1.0
